domain,name,type,title,title_t,help,help_t
"",,menu,User Management,用户管理,,
"",,menu,Groups,组,,
"",,menu,Permissions,权限,,
"",,menu,Roles,角色,,
"",,menu,Users,用户,,
com.axelor.auth.db.Group,code,field,,编码,,
com.axelor.auth.db.Group,name,field,,名称,,
com.axelor.auth.db.Group,restricted,field,,限制,,
com.axelor.auth.db.Group,navigation,field,,导航,,
com.axelor.auth.db.Group,permissions,field,,权限,,
com.axelor.auth.db.Group,roles,field,,角色,,
com.axelor.auth.db.Permission,name,field,,名称,,
com.axelor.auth.db.Permission,object,field,,对象,,
com.axelor.auth.db.Permission,canRead,field,Read,读,,
com.axelor.auth.db.Permission,canWrite,field,Write,写,,
com.axelor.auth.db.Permission,canCreate,field,Create,创建,,
com.axelor.auth.db.Permission,canRemove,field,Remove,删除,,
com.axelor.auth.db.Permission,canExport,field,Export,导出,,
com.axelor.auth.db.Permission,readCondition,field,,读条件,,
com.axelor.auth.db.Permission,readParams,field,,读参数,,
com.axelor.auth.db.Permission,writeCondition,field,,写条件,,
com.axelor.auth.db.Permission,writeParams,field,,写参数,,
com.axelor.auth.db.Permission,createCondition,field,,创建条件,,
com.axelor.auth.db.Permission,createParams,field,,创建参数,,
com.axelor.auth.db.Permission,removeCondition,field,,删除条件,,
com.axelor.auth.db.Permission,removeParams,field,,删除参数,,
com.axelor.auth.db.Permission,exportCondition,field,,导出条件,,
com.axelor.auth.db.Permission,exportParams,field,,导出参数,,
com.axelor.auth.db.Role,name,field,,名称,,
com.axelor.auth.db.Role,description,field,,描述,,
com.axelor.auth.db.Role,users,field,,用户,,
com.axelor.auth.db.Role,groups,field,,组,,
com.axelor.auth.db.User,code,field,Login,登录名,,
com.axelor.auth.db.User,name,field,,名称,,
com.axelor.auth.db.User,password,field,,密码,,
com.axelor.auth.db.User,blocked,field,Blocked user ?,限定用户？,Specify whether to block the user for an indeterminate times.,指定是否限定用户只在一段时间内有效。
com.axelor.auth.db.User,activeFrom,field,Active user from,开始时间,Specify whether to allow the user from this specific date.,指定是否允许用户在该时间之后有效。
com.axelor.auth.db.User,activeTo,field,Active user to,结束时间,Specify whether to allow the user until this specific date.,指定是否允许用户在该时间之前有效。
com.axelor.auth.db.User,group,field,,组,,
com.axelor.auth.db.User,roles,field,,角色,,
"",,select,Visible,可见,,
"",,select,Hidden,隐藏,,
"",,select,Collapse,收缩,,
com.axelor.auth.db.Group,,button,Show permissions,显示权限,,
com.axelor.auth.db.Group,,view,Group,组,,
com.axelor.auth.db.Permission,,view,Permissions,权限,,
com.axelor.auth.db.Group,,view,Groups,组,,
com.axelor.auth.db.Permission,,view,Permission,权限,,
com.axelor.auth.db.Permission,,group,General,基本,,
com.axelor.auth.db.Permission,,group,Access,访问,,
com.axelor.auth.db.Permission,,group,Read,读,,
com.axelor.auth.db.Permission,,viewField,Condition,条件,,
com.axelor.auth.db.Permission,,viewField,Params,参数,,
com.axelor.auth.db.Permission,,group,Write,写,,
com.axelor.auth.db.Permission,,viewField,Condition,条件,,
com.axelor.auth.db.Permission,,viewField,Params,参数,,
com.axelor.auth.db.Permission,,group,Create,创建,,
com.axelor.auth.db.Permission,,viewField,Condition,条件,,
com.axelor.auth.db.Permission,,viewField,Params,参数,,
com.axelor.auth.db.Permission,,group,Remove,删除,,
com.axelor.auth.db.Permission,,viewField,Condition,条件,,
com.axelor.auth.db.Permission,,viewField,Params,参数,,
com.axelor.auth.db.Permission,,group,Export,导出,,
com.axelor.auth.db.Permission,,viewField,Condition,条件,,
com.axelor.auth.db.Permission,,viewField,Params,参数,,
com.axelor.auth.db.Permission,,view,Permissions,权限,,
com.axelor.auth.db.Role,,view,Role,角色,,
com.axelor.auth.db.Group,,view,Groups,组,,
com.axelor.auth.db.Role,,separator,Description,描述,,
com.axelor.auth.db.Role,,view,Roles,角色,,
com.axelor.auth.db.User,,view,User,用户,,
com.axelor.auth.db.User,,group,General Info,基本信息,,
com.axelor.auth.db.User,,placeholder,user name,用户名,,
com.axelor.auth.db.User,,placeholder,user group,用户组,,
com.axelor.auth.db.User,,placeholder,login name,登录名,,
com.axelor.auth.db.User,,viewField,Change password?,修改密码？,,
com.axelor.auth.db.User,,viewField,Password,密码,,
com.axelor.auth.db.User,,placeholder,new password,新密码,,
com.axelor.auth.db.User,,placeholder,confirm password,确认密码,,
com.axelor.auth.db.User,,group,Authorization,授权,,
com.axelor.auth.db.User,,view,Users,用户,,
"",,action,Groups,组,,
"",,action,Permissions,权限,,
"",,action,Roles,角色,,
"",,action,Users,用户,,
"",,action,Code length should be greater than 2.,编码长度必须大于2位。,,
"",,action,Name length should be greater than 2.,名称长度必须大于2位。,,
"",,action,Code length should be greater than 2.,编码长度必须大于2位。,,
"",,action,Name length should be greater than 2.,名称长度必须大于2位。,,
"",,action,Permissions,权限,,
"",,action,Not a valid object name.,不是一个有效的对象名。,,
axelor-auth,,other,Duplicates found:,发现重复：,,
axelor-auth,,other,Not a valid object.,不是一个有效的对象。,,
axelor-auth,,other,Object found:,重复对象：,,
axelor-auth,,other,Only one permission per object is required.,每个对象只需要一个权限。,,
axelor-auth,,other,Password doesn't match,密码不匹配,,
action-auth-users,action-auth-users,documentation,,,,
action-auth-groups,action-auth-groups,documentation,,,,
action-auth-roles,action-auth-roles,documentation,,,,
action-auth-permissions,action-auth-permissions,documentation,,,,
user-form,user-form,documentation,,,,
user-form,name,documentation,,,,
user-form,group,documentation,,,,
user-form,code,documentation,,,,
user-form,change,documentation,,,,
user-form,newPassword,documentation,,,,
user-form,confirm,documentation,,,,
user-form,blocked,documentation,,,,指定是否限定用户只在一段时间内有效。
user-form,activeFrom,documentation,,,,有效期开始时间
user-form,activeTo,documentation,,,,有效期结束时间
user-form,roles,documentation,,,,
group-form,group-form,documentation,,,,
group-form,showPermissions,documentation,,,,
group-form,name,documentation,,,,
group-form,code,documentation,,,,
group-form,navigation,documentation,,,,
group-form,restricted,documentation,,,,
group-form,permissions,documentation,,,,
group-form,roles,documentation,,,,
role-form,role-form,documentation,,,,
role-form,name,documentation,,,,
role-form,groups,documentation,,,,
