domain,name,type,title,title_t,help,help_t
"",,menu,All Contacts,所以联系人,,
"",,menu,Address Book,通讯录,,
"",,menu,Address,地址,,
"",,menu,Business Contacts,业务联系人,,
"",,menu,Circles,圈子,,
"",,menu,Companies,公司,,
"",,menu,Configuration,配置,,
"",,menu,Country,国家,,
"",,menu,Family Members,家庭成员,,
"",,menu,My Friends,朋友,,
"",,menu,Titles,标题,,
com.axelor.contact.db.Address,contact,field,,联系人,,
com.axelor.contact.db.Address,street,field,,街道,,
com.axelor.contact.db.Address,area,field,,区,,
com.axelor.contact.db.Address,city,field,,城市,,
com.axelor.contact.db.Address,zip,field,,邮编,,
com.axelor.contact.db.Address,country,field,,国家,,
com.axelor.contact.db.Circle,code,field,,编码,,
com.axelor.contact.db.Circle,name,field,,名称,,
com.axelor.contact.db.Company,code,field,,编码,,
com.axelor.contact.db.Company,name,field,,名称,,
com.axelor.contact.db.Company,parent,field,,上级目录,,
com.axelor.contact.db.Company,employees,field,,员工,,
com.axelor.contact.db.Company,circles,field,,圈子,,
com.axelor.contact.db.Company,notes,field,,备注,,
com.axelor.contact.db.Contact,title,field,,称谓,,
com.axelor.contact.db.Contact,firstName,field,,名,,
com.axelor.contact.db.Contact,lastName,field,,姓,,
com.axelor.contact.db.Contact,fullName,field,,全名,,
com.axelor.contact.db.Contact,email,field,,邮箱,,
com.axelor.contact.db.Contact,phone,field,,电话,,
com.axelor.contact.db.Contact,dateOfBirth,field,,出生日期,,
com.axelor.contact.db.Contact,addresses,field,,地址,,
com.axelor.contact.db.Contact,circle,field,,圈子,,
com.axelor.contact.db.Contact,notes,field,,备注,,
com.axelor.contact.db.Contact,image,field,Photo,相片,Max size 4MB.,最大4MB
com.axelor.contact.db.Contact,company,field,,公司,,
com.axelor.contact.db.Country,code,field,,编码,,
com.axelor.contact.db.Country,name,field,,名称,,
com.axelor.contact.db.Title,code,field,,编码,,
com.axelor.contact.db.Title,name,field,,名称,,
com.axelor.contact.db.Address,,view,Address,地址,,
com.axelor.contact.db.Address,,view,Address List,地址列表,,
com.axelor.contact.db.Circle,,view,Circle,圈子,,
com.axelor.contact.db.Circle,,view,Circles,圈子,,
com.axelor.contact.db.Company,,view,Company,公司,,
com.axelor.contact.db.Company,,page,Employees,员工,,
com.axelor.contact.db.Contact,,view,Employees,员工,,
com.axelor.contact.db.Company,,page,Groups,组,,
com.axelor.contact.db.Company,,viewField,Circles,圈子,,
com.axelor.contact.db.Circle,,view,Circles,圈子,,
com.axelor.contact.db.Company,,page,Notes,备注,,
com.axelor.contact.db.Company,,view,Companies,公司,,
com.axelor.contact.db.Contact,,view,Contact,联系人,,
com.axelor.contact.db.Contact,,group,Personal Information,个人信息,,
com.axelor.contact.db.Contact,,group,Actions,动作,,
com.axelor.contact.db.Contact,,button,Send Greetings...,发送问候,,
com.axelor.contact.db.Contact,,button,Home Page...,首页,,
com.axelor.contact.db.Contact,,button,Company List...,公司列表,,
com.axelor.contact.db.Contact,,button,Demonstrate how to open new view from action.,演示如何通过动作打开新视图,,
com.axelor.contact.db.Contact,,page,Address List,地址列表,,
com.axelor.contact.db.Contact,,viewField,Address List,地址列表,,
com.axelor.contact.db.Address,,view,Address List,地址列表,,
com.axelor.contact.db.Address,,view,Address,地址,,
com.axelor.contact.db.Address,,button,Click Me!,点击这里！,,
com.axelor.contact.db.Contact,,page,Notes,备注,,
com.axelor.contact.db.Contact,,view,Contacts,联系人,,
com.axelor.contact.db.Address,,view,Address List,地址列表,,
com.axelor.contact.db.Address,,view,Address,地址,,
com.axelor.contact.db.Address,,button,Click Me!,点击这里！,,
com.axelor.contact.db.Country,,view,Country,国家,,
com.axelor.contact.db.Country,,view,Countries,国家,,
com.axelor.contact.db.Title,,view,Title,称谓,,
com.axelor.contact.db.Title,,view,Titles,称谓,,
"",,action,Contacts,联系人,,
"",,action,Business Contacts,业务联系人,,
"",,action,Circle,圈子,,
"",,action,Company,公司,,
"",,action,Country,国家,,
"",,action,Family Members,家庭成员,,
"",,action,Address,地址,,
"",,action,My Friends,朋友,,
"",,action,Title,称谓,,
"",street,documentation,,,,
"",area,documentation,,,,
"",city,documentation,,,,
"",zip,documentation,,,,
"",country,documentation,,,,
"",clickMe,documentation,,,,
company-form,name,documentation,,,,
company-form,code,documentation,,,,
company-form,parent,documentation,,,,
company-form,employees,documentation,,,,
company-form,circles,documentation,,,,
company-form,notes,documentation,,,,
country-form,name,documentation,,,,
country-form,code,documentation,,,,
circle-form,code,documentation,,,,
circle-form,name,documentation,,,,
title-form,code,documentation,,,,
contact-form,image,documentation,,,,
contact-form,title,documentation,,,,
contact-form,firstName,documentation,,,,
contact-form,lastName,documentation,,,,
contact-form,email,documentation,,,,
contact-form,phone,documentation,,,,
contact-form,dateOfBirth,documentation,,,,
contact-form,circle,documentation,,,,
contact-form,company,documentation,,,,
contact-form,greet,documentation,,,,
contact-form,showHomePage,documentation,,,,
contact-form,showCompanyList,documentation,,,,
contact-form,addresses,documentation,,,,
contact-form,notes,documentation,,,,
