domain,name,type,title,title_t,help,help_t
menu-dyndemo,My Menu,menu,My Menu,,,
menu-dyndemo-archive,Archive,menu,Archive,,,
menu-dyndemo-inbox,Inbox,menu,Inbox,,,
menu-dyndemo-messages,All Messages,menu,All Messages,,,
menu-dyndemo-product,All Products,menu,All Products,,,
com.axelor.dyndemo.db.DynMessage,author,field,,,,
com.axelor.dyndemo.db.DynMessage,recipients,field,,,,
com.axelor.dyndemo.db.DynMessage,parent,field,,,,
com.axelor.dyndemo.db.DynMessage,replies,field,,,,
com.axelor.dyndemo.db.DynMessage,subject,field,,,,
com.axelor.dyndemo.db.DynMessage,date,field,,,,
com.axelor.dyndemo.db.DynMessage,body,field,,,,
com.axelor.dyndemo.db.DynMessage,unread,field,,,,
com.axelor.dyndemo.db.DynMessage,starred,field,,,,
product.color.selection,black,select,Black,黑色,,
product.color.selection,white,select,White,白色,,
product.color.selection,gray,select,Gray,灰色,,
com.axelor.dyndemo.db.DynMessage,dyn-message-form,form,Message,,,
dyn-message-form,,page,Body,,,
dyn-message-form,,page,Replies,,,
com.axelor.dyndemo.db.DynMessage,,form,Reply,,,
com.axelor.dyndemo.db.DynMessage,dyn-message-form,form,DynMessage,,,
com.axelor.dyndemo.db.DynMessage,dyn-message-form2,form,Message,,,
dyn-message-form2,,label,to,,,
dyn-message-form2,,label,&nbsp;•,,,
dyn-message-form2,btnSend,button,Send,,,
dyn-message-form2,btnCancel,button,Cancel,,,
com.axelor.dyndemo.db.DynMessage,dyn-message-form3,form,Message,,,
dyn-message-form3,btnSend,button,Send,,,
com.axelor.dyndemo.db.DynMessage,dyn-message-grid,grid,Messages,,,
com.axelor.dyndemo.db.DynMessage,dyn-message-grid,grid,DynMessage,,,
com.axelor.sale.db.Product,product-form,form,Product,产品,,
dyn.messages.all,dyn.messages.all,action,All Messages,,,
dyn.messages.in,dyn.messages.in,action,Inbox,,,
dyn.products,dyn.products,action,Products,产品,,
