domain,name,type,title,title_t,help,help_t
"",,menu,Administration,管理,,
"",,menu,Auth Profiles,身份验证,,
"",,menu,All Models,模型,,
"",,menu,All Modules,模块,,
"",,menu,Model Management,模型管理,,
"",,menu,Module Management,模块管理,,
"",,menu,Preferences,首选项,,
"",,menu,Action Menus,动态菜单,,
"",,menu,All Actions,动作,,
"",,menu,All Views,视图,,
"",,menu,All Charts,图表,,
"",,menu,View Management,视图管理,,
"",,menu,All Menus,菜单,,
"",,menu,All Selects,选项,,
"",,menu,All Translations,国际化,,
com.axelor.meta.db.MetaModule,name,field,,名称,,
com.axelor.meta.db.MetaModule,title,field,,标题,,
com.axelor.meta.db.MetaModule,description,field,,描述,,
com.axelor.meta.db.MetaModule,depends,field,,依赖,,
com.axelor.meta.db.MetaModule,moduleVersion,field,Version,版本,,
com.axelor.meta.db.MetaModule,removable,field,,可删除？,,
com.axelor.meta.db.MetaModule,installed,field,,已安装？,,
com.axelor.meta.db.MetaView,name,field,,名称,,
com.axelor.meta.db.MetaView,title,field,,标题,,
com.axelor.meta.db.MetaView,type,field,,类型,,
com.axelor.meta.db.MetaView,priority,field,,优先级,,
com.axelor.meta.db.MetaView,model,field,,模型,,
com.axelor.meta.db.MetaView,module,field,,模块,,
com.axelor.meta.db.MetaView,xml,field,,XML,,
com.axelor.meta.db.MetaView,groups,field,,组,,
com.axelor.meta.db.MetaMenu,priority,field,,优先级,,
com.axelor.meta.db.MetaMenu,name,field,,名称,,
com.axelor.meta.db.MetaMenu,title,field,,标题,,
com.axelor.meta.db.MetaMenu,icon,field,,图标,,
com.axelor.meta.db.MetaMenu,module,field,,模块,,
com.axelor.meta.db.MetaMenu,top,field,,顶部菜单？,,
com.axelor.meta.db.MetaMenu,left,field,,左菜单？,,
com.axelor.meta.db.MetaMenu,mobile,field,,手机菜单？,,
com.axelor.meta.db.MetaMenu,parent,field,,上级菜单,,
com.axelor.meta.db.MetaMenu,action,field,,动作,,
com.axelor.meta.db.MetaMenu,groups,field,,组,,
com.axelor.meta.db.MetaActionMenu,name,field,,名称,,
com.axelor.meta.db.MetaActionMenu,title,field,,标题,,
com.axelor.meta.db.MetaActionMenu,category,field,,类别,Category name to group action menus.,动态菜单类别名称。
com.axelor.meta.db.MetaActionMenu,module,field,,模块,,
com.axelor.meta.db.MetaActionMenu,parent,field,,上级菜单,,
com.axelor.meta.db.MetaActionMenu,action,field,,动作,,
com.axelor.meta.db.MetaAction,name,field,,名称,,
com.axelor.meta.db.MetaAction,type,field,,类型,,
com.axelor.meta.db.MetaAction,model,field,,模型,,
com.axelor.meta.db.MetaAction,module,field,,模块,,
com.axelor.meta.db.MetaAction,xml,field,,XML,,
com.axelor.meta.db.MetaSelect,name,field,,名称,,
com.axelor.meta.db.MetaSelect,priority,field,,优先级,,
com.axelor.meta.db.MetaSelect,module,field,,模块,,
com.axelor.meta.db.MetaSelect,items,field,,项目,,
com.axelor.meta.db.MetaSelectItem,value,field,,值,,
com.axelor.meta.db.MetaSelectItem,title,field,,标题,,
com.axelor.meta.db.MetaSelectItem,order,field,,顺序,,
com.axelor.meta.db.MetaSelectItem,select,field,,选项,,
com.axelor.meta.db.MetaModel,name,field,Name,名称,,
com.axelor.meta.db.MetaModel,packageName,field,Package,包名,,
com.axelor.meta.db.MetaModel,tableName,field,Table,表名,,
com.axelor.meta.db.MetaModel,metaFields,field,Fields,字段,,
com.axelor.meta.db.MetaModel,fullName,field,Fullname,全称,,
com.axelor.meta.db.MetaField,metaModel,field,,元模型,,
com.axelor.meta.db.MetaField,name,field,Name,名称,,
com.axelor.meta.db.MetaField,packageName,field,Package,包名,,
com.axelor.meta.db.MetaField,typeName,field,Type,类型,,
com.axelor.meta.db.MetaField,label,field,Label,标签,,
com.axelor.meta.db.MetaField,relationship,field,Relationship,关系,,
com.axelor.meta.db.MetaField,mappedBy,field,Mapped by,映射,,
com.axelor.meta.db.MetaField,description,field,Description,描述,,
com.axelor.meta.db.MetaTranslation,key,field,,键,,
com.axelor.meta.db.MetaTranslation,language,field,,语言,,
com.axelor.meta.db.MetaTranslation,translation,field,,翻译,,
com.axelor.meta.db.MetaTranslation,domain,field,,域,,
com.axelor.meta.db.MetaTranslation,type,field,,类型,,
com.axelor.meta.db.MetaFile,content,field,File,文件,,
com.axelor.meta.db.MetaFile,fileName,field,,文件名,,
com.axelor.meta.db.MetaFile,size,field,Size in bytes,字节大小,,
com.axelor.meta.db.MetaFile,mine,field,File type,文件类型,,
com.axelor.meta.db.MetaFile,description,field,,描述,,
com.axelor.meta.db.MetaFile,sizeText,field,Size,标题,,
com.axelor.meta.db.MetaAttachment,objectName,field,,对象名称,,
com.axelor.meta.db.MetaAttachment,objectId,field,,对象ID,,
com.axelor.meta.db.MetaAttachment,metaFile,field,File,元文件,,
com.axelor.meta.db.MetaChartSeries,key,field,,键,,
com.axelor.meta.db.MetaChartSeries,groupBy,field,,分组,,
com.axelor.meta.db.MetaChartSeries,title,field,,标题,,
com.axelor.meta.db.MetaChartSeries,type,field,,类型,,
com.axelor.meta.db.MetaChartSeries,side,field,,位置,,
com.axelor.meta.db.MetaChartSeries,aggregate,field,,汇总,,
com.axelor.meta.db.MetaChartConfig,name,field,,名称,,
com.axelor.meta.db.MetaChartConfig,value,field,,值,,
com.axelor.meta.db.MetaChart,name,field,,名称,,
com.axelor.meta.db.MetaChart,module,field,,模块,,
com.axelor.meta.db.MetaChart,title,field,,标题,,
com.axelor.meta.db.MetaChart,stacked,field,,堆栈,,
com.axelor.meta.db.MetaChart,query,field,,查询,,
com.axelor.meta.db.MetaChart,queryType,field,,查询类型,,
com.axelor.meta.db.MetaChart,categoryKey,field,,类别键,,
com.axelor.meta.db.MetaChart,categoryType,field,,类别类型,,
com.axelor.meta.db.MetaChart,categoryTitle,field,,类别标题,,
com.axelor.meta.db.MetaChart,chartSeries,field,,数据集,,
com.axelor.meta.db.MetaChart,chartConfig,field,,图表设置,,
com.axelor.meta.db.MetaAuthProfile,name,field,,名称,,
com.axelor.meta.db.MetaAuthProfile,targetPackage,field,,目标包,,
com.axelor.meta.db.MetaAuthProfile,canRead,field,Read,可读,,
com.axelor.meta.db.MetaAuthProfile,canWrite,field,Write,可写,,
com.axelor.meta.db.MetaAuthProfile,canCreate,field,Create,可创建,,
com.axelor.meta.db.MetaAuthProfile,canRemove,field,Remove,可删除,,
com.axelor.meta.db.MetaAuthProfile,readCondition,field,,读条件,,
com.axelor.meta.db.MetaAuthProfile,readParams,field,,读参数,,
com.axelor.meta.db.MetaAuthProfile,writeCondition,field,,写条件,,
com.axelor.meta.db.MetaAuthProfile,writeParams,field,,写参数,,
com.axelor.meta.db.MetaAuthProfile,createCondition,field,,创建条件,,
com.axelor.meta.db.MetaAuthProfile,createParams,field,,创建参数,,
com.axelor.meta.db.MetaAuthProfile,removeCondition,field,,删除条件,,
com.axelor.meta.db.MetaAuthProfile,removeParams,field,,删除参数,,
com.axelor.meta.db.MetaAuthProfile,groups,field,,组,,
com.axelor.meta.db.MetaAuthProfile,allMenus,field,,所有的菜单？,,
com.axelor.meta.db.MetaAuthProfile,metaMenus,field,,菜单,,
com.axelor.meta.db.MetaFilter,name,field,,名称,,
com.axelor.meta.db.MetaFilter,title,field,,标题,,
com.axelor.meta.db.MetaFilter,filters,field,,过滤器,,
com.axelor.meta.db.MetaFilter,filterCustom,field,,自定义过滤器,,
com.axelor.meta.db.MetaFilter,filterView,field,,过滤器视图,,
com.axelor.meta.db.MetaFilter,shared,field,,分享？,,
com.axelor.meta.db.MetaFilter,user,field,,用户,,
com.axelor.meta.db.MetaUser,user,field,,用户,,
com.axelor.meta.db.MetaUser,email,field,,邮箱,,
com.axelor.meta.db.MetaUser,language,field,,语言,,
com.axelor.meta.db.MetaUser,action,field,,动作,,
"",,select,action-attrs,action-attrs,,
"",,select,action-view,action-view,,
"",,select,action-group,action-group,,
"",,select,action-validate,action-validate,,
"",,select,action-condition,action-condition,,
"",,select,action-record,action-record,,
"",,select,action-method,action-method,,
"",,select,action-import,action-import,,
"",,select,action-export,action-export,,
"",,select,action-ws,action-ws,,
"",,select,action-workflow,action-workflow,,
"",,select,Field,字段,,
"",,select,Help,帮助,,
"",,select,PlaceHolder,默认文本,,
"",,select,Documentation,文档,,
"",,select,Group,组,,
"",,select,Page,页,,
"",,select,Separator,分隔符,,
"",,select,Label,标签,,
"",,select,Button,按钮,,
"",,select,Menu,菜单,,
"",,select,Action Menu,动态菜单,,
"",,select,View,视图,,
"",,select,Tree,树,,
"",,select,Chart,图表,,
"",,select,Portlet,Portlet,,
"",,select,Search,查询,,
"",,select,Filter,过滤器,,
"",,select,Action,动作,,
"",,select,Select,选项,,
"",,select,Other,其他,,
"",,select,OneToOne,一对一,,
"",,select,ManyToOne,多对一,,
"",,select,OneToMany,一对多,,
"",,select,ManyToMany,多对多,,
"",,select,Sum,合计,,
"",,select,Count,数量,,
"",,select,Average,平均值,,
"",,select,Minimum,最小值,,
"",,select,Maximum,最大值,,
"",,select,Variance,方差,,
"",,select,Std. Deviation,标准偏差,,
"",,select,JPQL,JPQL,,
"",,select,SQL,SQL,,
"",,select,Left,左边,,
"",,select,Right,右边,,
"",,select,Pie,饼状图,,
"",,select,Bar,直方图,,
"",,select,HBar,水平直方图,,
"",,select,Line,线条图,,
"",,select,Area,区域图,,
"",,select,Radar,雷达图,,
"",,select,Gauge,测量图,,
"",,select,Scatter,散点图,,
"",,select,Number,整数,,
"",,select,Decimal,小数,,
"",,select,Date,日期,,
"",,select,Time,时间,,
"",,select,Month,月,,
"",,select,Year,年,,
"",,select,Text,文本,,
"",,select,From sources,从资源文件,,
"",,select,From directory,从目录,,
"",,select,English,英语,,
"",,select,French,法语,,
"",,select,Grid,表格,,
"",,select,Form,表单,,
"",,select,Tree,树,,
"",,select,Search,查询,,
"",,select,Portal,门户,,
"",,select,Calendar,日历,,
"",,select,Filters,过滤器,,
com.axelor.meta.db.MetaAction,,view,Action,动作,,
com.axelor.meta.db.MetaAction,,page,XML,XML,,
com.axelor.meta.db.MetaAction,,view,All Actions,动作,,
com.axelor.meta.db.MetaActionMenu,,view,Action Menu,动态菜单,,
com.axelor.meta.db.MetaActionMenu,,view,Action Menus,动态菜单,,
com.axelor.meta.db.MetaAttachment,,view,MetaAttachment,附件,,
com.axelor.meta.db.MetaAttachment,archived,field,,归档,,
com.axelor.meta.db.MetaAttachment,,view,MetaAttachment,附件,,
com.axelor.meta.db.MetaAttachment,archived,field,,归档,,
com.axelor.meta.db.MetaAuthProfile,,button,Generate,生成,,
com.axelor.meta.db.MetaAuthProfile,,button,Show permissions,显示权限,,
com.axelor.meta.db.MetaAuthProfile,,view,Auth Profile,身份验证,,
com.axelor.meta.db.MetaAuthProfile,,group,General,基本,,
com.axelor.meta.db.MetaAuthProfile,,group,Access,访问,,
com.axelor.meta.db.MetaAuthProfile,,page,Groups,组,,
com.axelor.meta.db.MetaAuthProfile,,page,Menus,菜单,,
com.axelor.meta.db.MetaAuthProfile,,page,Conditions,条件,,
com.axelor.meta.db.MetaAuthProfile,,group,Read,读,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Condition,条件,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Params,参数,,
com.axelor.meta.db.MetaAuthProfile,,group,Write,写,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Condition,条件,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Params,参数,,
com.axelor.meta.db.MetaAuthProfile,,group,Create,创建,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Condition,条件,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Params,参数,,
com.axelor.meta.db.MetaAuthProfile,,group,Remove,删除,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Condition,条件,,
com.axelor.meta.db.MetaAuthProfile,,viewField,Params,参数,,
com.axelor.meta.db.MetaAuthProfile,,view,Auth Profiles,身份验证,,
com.axelor.meta.db.MetaChartConfig,,view,MetaChartConfig,元图表配置,,
com.axelor.meta.db.MetaChartConfig,archived,field,,归档,,
com.axelor.meta.db.MetaChartConfig,,view,MetaChartConfig,元图表配置,,
com.axelor.meta.db.MetaChartConfig,archived,field,,归档,,
com.axelor.meta.db.MetaChart,,view,Chart,图表,,
com.axelor.meta.db.MetaChart,,page,Query,查询,,
com.axelor.meta.db.MetaChart,,viewField,Type,类型,,
com.axelor.meta.db.MetaChart,,page,Series,系列,,
com.axelor.meta.db.MetaChartSeries,,view,Series,系列,,
com.axelor.meta.db.MetaChartSeries,,view,Series,系列,,
com.axelor.meta.db.MetaChart,,page,Config,配置,,
com.axelor.meta.db.MetaChartConfig,,view,Config,配置,,
com.axelor.meta.db.MetaChart,,view,Charts,图表,,
com.axelor.meta.db.MetaChartSeries,,view,MetaChartSeries,元图表系列,,
com.axelor.meta.db.MetaChartSeries,archived,field,,,,
com.axelor.meta.db.MetaChartSeries,,view,MetaChartSeries,系列图表,,
com.axelor.meta.db.MetaChartSeries,archived,field,,归档,,
com.axelor.meta.db.MetaField,,view,Field,字段,,
com.axelor.meta.db.MetaField,,button,Show Model,显示模型,,
com.axelor.meta.db.MetaField,,separator,Description,描述,,
com.axelor.meta.db.MetaField,,view,Fields,字段,,
com.axelor.meta.db.MetaFile,,view,Files,文件,,
com.axelor.meta.db.MetaFile,,view,Files,文件,,
com.axelor.meta.db.MetaFile,createdBy,field,,创建人,,
com.axelor.meta.db.MetaFile,createdOn,field,,创建时间,,
com.axelor.meta.db.MetaFilter,,view,MetaFilter,过滤器,,
com.axelor.meta.db.MetaFilter,archived,field,,归档,,
com.axelor.meta.db.MetaFilter,,view,MetaFilter,过滤器,,
com.axelor.meta.db.MetaFilter,archived,field,,归档,,
com.axelor.meta.db.MetaMenu,,view,Menu Item,菜单项,,
com.axelor.meta.db.MetaMenu,,page,Groups,组,,
com.axelor.meta.db.MetaMenu,,view,Menu Items,菜单项,,
com.axelor.meta.db.MetaModel,,view,Model,模型,,
com.axelor.meta.db.MetaModel,,view,Models,模型,,
