domain,name,type,title,title_t,help,help_t
menu-wkf,Wkf Management,menu,Wkf Management,Gestion des processus,,
menu-wkf-configurations,Configurations,menu,Configurations,Configurations,,
menu-wkf-instances,Instances,menu,Instances,实例,,
menu-wkf-nodes-root,Nodes,menu,Nodes,节点,,
menu-wkf-nodes-root-event,Events,menu,Events,Evènements,,
menu-wkf-start-event,Start events,menu,Start events,Evènements de départ,,
menu-wkf-intermediate-timer-event,Timer events,menu,Timer events,Evènements minuteurs,,
menu-wkf-end-event,End events,menu,End events,Evènements de fin,,
menu-wkf-nodes-root-message,Messages,menu,Messages,消息,,
menu-wkf-intermediate-email-message-event,E-mail events,menu,E-mail events,E-mails,,
menu-wkf-intermediate-mail-event,Mail events,menu,Mail events,Courriers,,
menu-wkf-intermediate-sms-event,Sms events,menu,Sms events,短信事件,,
menu-wkf-intermediate-phone-call-event,Phone call events,menu,Phone call events,Appels téléphoniques,,
menu-wkf-intermediate-internet-site-event,Internet site events,menu,Internet site events,网站事件,,
menu-wkf-nodes-root-social-network,Social networks,menu,Social networks,社交网络,,
menu-wkf-intermediate-facebook-event,Facebook events,menu,Facebook events,Facebook,,
menu-wkf-intermediate-linkedin-event,Linkedin events,menu,Linkedin events,Linkedin,,
menu-wkf-intermediate-twitter-event,twitter events,menu,twitter events,twitter,,
menu-wkf-nodes-root-filter,Filters,menu,Filters,Filtres,,
menu-wkf-filter-event,Filters,menu,Filters,Filtres,,
menu-wkf-stop-filter-event,Stop filters,menu,Stop filters,Fin filtres,,
menu-wkf-nodes-root-activity,Activities,menu,Activities,Activités,,
menu-wkf-activity,Activities,menu,Activities,Activités,,
menu-wkf-nodes-root-gateway,Gateways,menu,Gateways,网关,,
menu-wkf-inclusive-gateway,Inclusive gateways,menu,Inclusive gateways,包容网关,,
menu-wkf-exclusive-gateway,Exclusive gateways,menu,Exclusive gateways,Exclusives,,
menu-wkf-parallel-gateway,Parallel gateways,menu,Parallel gateways,并行网关,,
menu-wkf-transitions,Transitions,menu,Transitions,翻译,,
menu-wkf-workflows,Workflows,menu,Workflows,工作流,,
com.axelor.wkf.db.Instance,workflow,field,Workflow,工作流,,
com.axelor.wkf.db.Instance,metaModelId,field,Model ID,模型ID,,
com.axelor.wkf.db.Instance,nodes,field,Nodes,节点,,
com.axelor.wkf.db.Instance,executedTransitions,field,Executed transitions,执行翻译,,
com.axelor.wkf.db.Instance,creationDate,field,Creation date,Date de création,,
com.axelor.wkf.db.Instance,creationUser,field,User,用户,,
com.axelor.wkf.db.Instance,histories,field,Histories,历史,,
com.axelor.wkf.db.Instance,counters,field,Counters,Compteurs,,
com.axelor.wkf.db.InstanceHistory,instance,field,,实例,,
com.axelor.wkf.db.InstanceHistory,transition,field,Transition,翻译,,
com.axelor.wkf.db.InstanceHistory,creationDate,field,Création date,Date de création,,
com.axelor.wkf.db.InstanceHistory,creationUser,field,User,用户,,
com.axelor.wkf.db.InstanceCounter,instance,field,,实例,,
com.axelor.wkf.db.InstanceCounter,node,field,Node,节点,,
com.axelor.wkf.db.InstanceCounter,counter,field,Counter,Compteur,,
com.axelor.wkf.db.Workflow,name,field,,名称,,
com.axelor.wkf.db.Workflow,metaModel,field,,模型,,
com.axelor.wkf.db.Workflow,node,field,,节点,,
com.axelor.wkf.db.Workflow,maxNodeCounter,field,,最大节点数,,
com.axelor.wkf.db.Workflow,condition,field,Condition,Condition,,
com.axelor.wkf.db.Workflow,sequence,field,,顺序,,
com.axelor.wkf.db.Workflow,description,field,,Description,,
com.axelor.wkf.db.Workflow,active,field,,Actif ?,,
com.axelor.wkf.db.Workflow,archived,field,,Archivé ?,,
com.axelor.wkf.db.Workflow,bpmn,field,,BPMN,,
com.axelor.wkf.db.Workflow,xmlData,field,,Données XML,,
com.axelor.wkf.db.Workflow,ref,field,,参照,,
com.axelor.wkf.db.Node,name,field,,名称,,
com.axelor.wkf.db.Node,type,field,,类型,,
com.axelor.wkf.db.Node,action,field,,Action,,
com.axelor.wkf.db.Node,operator,field,,逻辑运算符,,
com.axelor.wkf.db.Node,messageType,field,,消息类型,,
com.axelor.wkf.db.Node,socialNetwork,field,,社交网络,,
com.axelor.wkf.db.Node,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.Node,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.Node,description,field,,Description,,
com.axelor.wkf.db.Node,ref,field,,参照,,
com.axelor.wkf.db.Node,account,field,,Compte,,
com.axelor.wkf.db.Node,persist,field,,持久化？,,
com.axelor.wkf.db.Node,template,field,,模板,,
com.axelor.wkf.db.Node,templateModel,field,,模型模板,,
com.axelor.wkf.db.Node,privateMessage,field,,私有消息？,,
com.axelor.wkf.db.Node,targetPage,field,,目标页面,,
com.axelor.wkf.db.Node,timeDuration,field,,Durée,,
com.axelor.wkf.db.Node,timeCycle,field,,Cycle,,
com.axelor.wkf.db.Node,timeDate,field,,Date,,
com.axelor.wkf.db.node.StartEvent,name,field,,名称,,
com.axelor.wkf.db.node.StartEvent,type,field,,类型,,
com.axelor.wkf.db.node.StartEvent,action,field,,Action,,
com.axelor.wkf.db.node.StartEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.StartEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.StartEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.StartEvent,description,field,,Description,,
com.axelor.wkf.db.node.StartEvent,ref,field,,参照,,
com.axelor.wkf.db.node.EndEvent,name,field,,名称,,
com.axelor.wkf.db.node.EndEvent,type,field,,类型,,
com.axelor.wkf.db.node.EndEvent,action,field,,Action,,
com.axelor.wkf.db.node.EndEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.EndEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.EndEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.EndEvent,description,field,,Description,,
com.axelor.wkf.db.node.EndEvent,ref,field,,参照,,
com.axelor.wkf.db.node.Activity,name,field,,名称,,
com.axelor.wkf.db.node.Activity,type,field,,类型,,
com.axelor.wkf.db.node.Activity,action,field,,Action,,
com.axelor.wkf.db.node.Activity,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.Activity,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.Activity,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.Activity,description,field,,Description,,
com.axelor.wkf.db.node.Activity,ref,field,,参照,,
com.axelor.wkf.db.node.IntermediateTimerEvent,name,field,,名称,,
com.axelor.wkf.db.node.IntermediateTimerEvent,type,field,,类型,,
com.axelor.wkf.db.node.IntermediateTimerEvent,action,field,,Action,,
com.axelor.wkf.db.node.IntermediateTimerEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.IntermediateTimerEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.IntermediateTimerEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.IntermediateTimerEvent,description,field,,Description,,
com.axelor.wkf.db.node.IntermediateTimerEvent,ref,field,,参照,,
com.axelor.wkf.db.node.IntermediateTimerEvent,timeDuration,field,,Durée,,
com.axelor.wkf.db.node.IntermediateTimerEvent,timeCycle,field,,Cycle,,
